nid,day,rid,status,times,Mon,Tue,Wed,Thu,Fri,Sat,Sun,times
143,3,3,0,0.9787,0,0,0,1,0,0,0,97.87
144,3,3,0,1,0,0,0,1,0,0,0,100
145,4,3,0,0,0,0,0,0,1,0,0,0
146,4,3,0,0.0213,0,0,0,0,1,0,0,2.13
147,4,3,0,0.0426,0,0,0,0,1,0,0,4.26
148,4,3,0,0.0638,0,0,0,0,1,0,0,6.38
149,4,3,0,0.0851,0,0,0,0,1,0,0,8.51
150,4,3,0,0.1064,0,0,0,0,1,0,0,10.64
151,4,3,0,0.1277,0,0,0,0,1,0,0,12.77
152,4,3,0,0.1489,0,0,0,0,1,0,0,14.89
153,4,3,0,0.1702,0,0,0,0,1,0,0,17.02
154,4,3,0,0.1915,0,0,0,0,1,0,0,19.15
155,4,3,0,0.2128,0,0,0,0,1,0,0,21.28
156,4,3,0,0.234,0,0,0,0,1,0,0,23.4
157,4,3,0,0.2553,0,0,0,0,1,0,0,25.53
158,4,3,0,0.2766,0,0,0,0,1,0,0,27.66
159,4,3,1,0.2979,0,0,0,0,1,0,0,29.79
160,4,3,2,0.3191,0,0,0,0,1,0,0,31.91
161,4,3,2,0.3404,0,0,0,0,1,0,0,34.04
162,4,3,2,0.3617,0,0,0,0,1,0,0,36.17
163,4,3,2,0.383,0,0,0,0,1,0,0,38.3
164,4,3,1,0.4043,0,0,0,0,1,0,0,40.43
165,4,3,2,0.4255,0,0,0,0,1,0,0,42.55
166,4,3,1,0.4468,0,0,0,0,1,0,0,44.68
167,4,3,0,0.4681,0,0,0,0,1,0,0,46.81
168,4,3,1,0.4894,0,0,0,0,1,0,0,48.94
169,4,3,0,0.5106,0,0,0,0,1,0,0,51.06
170,4,3,0,0.5319,0,0,0,0,1,0,0,53.19
171,4,3,0,0.5532,0,0,0,0,1,0,0,55.32
172,4,3,1,0.5745,0,0,0,0,1,0,0,57.45
173,4,3,1,0.5957,0,0,0,0,1,0,0,59.57
174,4,3,1,0.617,0,0,0,0,1,0,0,61.7
175,4,3,2,0.6383,0,0,0,0,1,0,0,63.83
176,4,3,1,0.6596,0,0,0,0,1,0,0,65.96
177,4,3,1,0.6809,0,0,0,0,1,0,0,68.09
178,4,3,1,0.7021,0,0,0,0,1,0,0,70.21
179,4,3,1,0.7234,0,0,0,0,1,0,0,72.34
180,4,3,1,0.7447,0,0,0,0,1,0,0,74.47
181,4,3,1,0.766,0,0,0,0,1,0,0,76.6
182,4,3,1,0.7872,0,0,0,0,1,0,0,78.72
183,4,3,1,0.8085,0,0,0,0,1,0,0,80.85
184,4,3,1,0.8298,0,0,0,0,1,0,0,82.98
